pokemon,pokedex_no,hp,attack,defense,special-attack,special-defense,speed
cutiefly,742,40,45,40,55,40,84
ribombee,743,60,55,60,95,70,124
rockruff,744,45,65,40,30,40,60
lycanroc-midday,745,75,115,65,55,65,112
wishiwashi-solo,746,45,20,20,25,25,40
mareanie,747,50,53,62,43,52,45
toxapex,748,50,63,152,53,142,35
mudbray,749,70,100,70,45,55,45
mudsdale,750,100,125,100,55,85,35
dewpider,751,38,40,52,40,72,27
araquanid,752,68,70,92,50,132,42
fomantis,753,40,55,35,50,35,35
lurantis,754,70,105,90,80,90,45
morelull,755,40,35,55,65,75,15
shiinotic,756,60,45,80,90,100,30
salandit,757,48,44,40,71,40,77
salazzle,758,68,64,60,111,60,117
stufful,759,70,75,50,45,50,50
bewear,760,120,125,80,55,60,60
bounsweet,761,42,30,38,30,38,32
steenee,762,52,40,48,40,48,62
tsareena,763,72,120,98,50,98,72
comfey,764,51,52,90,82,110,100
oranguru,765,90,60,80,90,110,60
passimian,766,100,120,90,40,60,80
wimpod,767,25,35,40,20,30,80
golisopod,768,75,125,140,60,90,40
sandygast,769,55,55,80,70,45,15
palossand,770,85,75,110,100,75,35
pyukumuku,771,55,60,130,30,130,5
type-null,772,95,95,95,95,95,59
silvally,773,95,95,95,95,95,95
minior-red-meteor,774,60,60,100,60,100,60
komala,775,65,115,65,75,95,65
turtonator,776,60,78,135,91,85,36
togedemaru,777,65,98,63,40,73,96
mimikyu-disguised,778,55,90,80,50,105,96
bruxish,779,68,105,70,70,70,92
drampa,780,78,60,85,135,91,36
dhelmise,781,70,131,100,86,90,40
jangmo-o,782,45,55,65,45,45,45
hakamo-o,783,55,75,90,65,70,65
kommo-o,784,75,110,125,100,105,85
tapu-koko,785,70,115,85,95,75,130
tapu-lele,786,70,85,75,130,115,95
tapu-bulu,787,70,130,115,85,95,75
tapu-fini,788,70,75,115,95,130,85
cosmog,789,43,29,31,29,31,37
cosmoem,790,43,29,131,29,131,37
solgaleo,791,137,137,107,113,89,97
lunala,792,137,113,89,137,107,97
nihilego,793,109,53,47,127,131,103
buzzwole,794,107,139,139,53,53,79
pheromosa,795,71,137,37,137,37,151
xurkitree,796,83,89,71,173,71,83
celesteela,797,97,101,103,107,101,61
kartana,798,59,181,131,59,31,109
guzzlord,799,223,101,53,97,53,43
necrozma,800,97,107,101,127,89,79
magearna,801,80,95,115,130,115,65
marshadow,802,90,125,80,90,90,125
poipole,803,67,73,67,73,67,73
naganadel,804,73,73,73,127,73,121
stakataka,805,61,131,211,53,101,13
blacephalon,806,53,127,53,151,79,107
zeraora,807,88,112,75,102,80,143
meltan,808,46,65,65,55,35,34
melmetal,809,135,143,143,80,65,34
grookey,810,50,65,50,40,40,65
thwackey,811,70,85,70,55,60,80
rillaboom,812,100,125,90,60,70,85
scorbunny,813,50,71,40,40,40,69
raboot,814,65,86,60,55,60,94
cinderace,815,80,116,75,65,75,119
sobble,816,50,40,40,70,40,70
drizzile,817,65,60,55,95,55,90
inteleon,818,70,85,65,125,65,120
skwovet,819,70,55,55,35,35,25
greedent,820,120,95,95,55,75,20
rookidee,821,38,47,35,33,35,57
corvisquire,822,68,67,55,43,55,77
corviknight,823,98,87,105,53,85,67
blipbug,824,25,20,20,25,45,45
dottler,825,50,35,80,50,90,30
orbeetle,826,60,45,110,80,120,90
nickit,827,40,28,28,47,52,50
thievul,828,70,58,58,87,92,90
gossifleur,829,40,40,60,40,60,10
eldegoss,830,60,50,90,80,120,60
wooloo,831,42,40,55,40,45,48
dubwool,832,72,80,100,60,90,88
chewtle,833,50,64,50,38,38,44
drednaw,834,90,115,90,48,68,74
yamper,835,59,45,50,40,50,26
boltund,836,69,90,60,90,60,121
rolycoly,837,30,40,50,40,50,30
carkol,838,80,60,90,60,70,50
coalossal,839,110,80,120,80,90,30
applin,840,40,40,80,40,40,20
flapple,841,70,110,80,95,60,70
appletun,842,110,85,80,100,80,30
silicobra,843,52,57,75,35,50,46
sandaconda,844,72,107,125,65,70,71
cramorant,845,70,85,55,85,95,85
arrokuda,846,41,63,40,40,30,66
barraskewda,847,61,123,60,60,50,136
toxel,848,40,38,35,54,35,40
toxtricity-amped,849,75,98,70,114,70,75
sizzlipede,850,50,65,45,50,50,45
centiskorch,851,100,115,65,90,90,65
clobbopus,852,50,68,60,50,50,32
grapploct,853,80,118,90,70,80,42
sinistea,854,40,45,45,74,54,50
polteageist,855,60,65,65,134,114,70
hatenna,856,42,30,45,56,53,39
hattrem,857,57,40,65,86,73,49
hatterene,858,57,90,95,136,103,29
impidimp,859,45,45,30,55,40,50
morgrem,860,65,60,45,75,55,70
grimmsnarl,861,95,120,65,95,75,60
obstagoon,862,93,90,101,60,81,95
perrserker,863,70,110,100,50,60,50
cursola,864,60,95,50,145,130,30
sirfetchd,865,62,135,95,68,82,65
mr-rime,866,80,85,75,110,100,70
runerigus,867,58,95,145,50,105,30
milcery,868,45,40,40,50,61,34
alcremie,869,65,60,75,110,121,64
falinks,870,65,100,100,70,60,75
pincurchin,871,48,101,95,91,85,15
snom,872,30,25,35,45,30,20
frosmoth,873,70,65,60,125,90,65
stonjourner,874,100,125,135,20,20,70
eiscue-ice,875,75,80,110,65,90,50
indeedee-male,876,60,65,55,105,95,95
morpeko-full-belly,877,58,95,58,70,58,97
cufant,878,72,80,49,40,49,40
copperajah,879,122,130,69,80,69,30
dracozolt,880,90,100,90,80,70,75
arctozolt,881,90,100,90,90,80,55
dracovish,882,90,90,100,70,80,75
arctovish,883,90,90,100,80,90,55
duraludon,884,70,95,115,120,50,85
dreepy,885,28,60,30,40,30,82
drakloak,886,68,80,50,60,50,102
dragapult,887,88,120,75,100,75,142
zacian,888,92,120,115,80,115,138
zamazenta,889,92,120,115,80,115,138
eternatus,890,140,85,95,145,95,130
kubfu,891,60,90,60,53,50,72
urshifu-single-strike,892,100,130,100,63,60,97
zarude,893,105,120,105,70,95,105
regieleki,894,80,100,50,100,50,200
regidrago,895,200,100,50,100,50,80
glastrier,896,100,145,130,65,110,30
spectrier,897,100,65,60,145,80,130
calyrex,898,100,80,80,80,80,80
wyrdeer,899,103,105,72,105,75,65
kleavor,900,70,135,95,45,70,85
ursaluna,901,130,140,105,45,80,50
basculegion-male,902,120,112,65,80,75,78
sneasler,903,80,130,60,40,80,120
overqwil,904,85,115,95,65,65,85
enamorus-incarnate,905,74,115,70,135,80,106
sprigatito,906,40,61,54,45,45,65
floragato,907,61,80,63,60,63,83
meowscarada,908,76,110,70,81,70,123
fuecoco,909,67,45,59,63,40,36
crocalor,910,81,55,78,90,58,49
skeledirge,911,104,75,100,110,75,66
quaxly,912,55,65,45,50,45,50
quaxwell,913,70,85,65,65,60,65
quaquaval,914,85,120,80,85,75,85
lechonk,915,54,45,40,35,45,35
oinkologne-male,916,110,100,75,59,80,65
tarountula,917,35,41,45,29,40,20
spidops,918,60,79,92,52,86,35
nymble,919,33,46,40,21,25,45
lokix,920,71,102,78,52,55,92
pawmi,921,45,50,20,40,25,60
pawmo,922,60,75,40,50,40,85
pawmot,923,70,115,70,70,60,105
tandemaus,924,50,50,45,40,45,75
maushold-family-of-four,925,74,75,70,65,75,111
fidough,926,37,55,70,30,55,65
dachsbun,927,57,80,115,50,80,95
smoliv,928,41,35,45,58,51,30
dolliv,929,52,53,60,78,78,33
arboliva,930,78,69,90,125,109,39
squawkabilly-green-plumage,931,82,96,51,45,51,92
nacli,932,55,55,75,35,35,25
naclstack,933,60,60,100,35,65,35
garganacl,934,100,100,130,45,90,35
charcadet,935,40,50,40,50,40,35
armarouge,936,85,60,100,125,80,75
ceruledge,937,75,125,80,60,100,85
tadbulb,938,61,31,41,59,35,45
bellibolt,939,109,64,91,103,83,45
wattrel,940,40,40,35,55,40,70
kilowattrel,941,70,70,60,105,60,125
maschiff,942,60,78,60,40,51,51
mabosstiff,943,80,120,90,60,70,85
shroodle,944,40,65,35,40,35,75
grafaiai,945,63,95,65,80,72,110
bramblin,946,40,65,30,45,35,60
brambleghast,947,55,115,70,80,70,90
toedscool,948,40,40,35,50,100,70
toedscruel,949,80,70,65,80,120,100
klawf,950,70,100,115,35,55,75
capsakid,951,50,62,40,62,40,50
scovillain,952,65,108,65,108,65,75
rellor,953,41,50,60,31,58,30
rabsca,954,75,50,85,115,100,45
flittle,955,30,35,30,55,30,75
espathra,956,95,60,60,101,60,105
tinkatink,957,50,45,45,35,64,58
tinkatuff,958,65,55,55,45,82,78
tinkaton,959,85,75,77,70,105,94
wiglett,960,10,55,25,35,25,95
wugtrio,961,35,100,50,50,70,120
bombirdier,962,70,103,85,60,85,82
finizen,963,70,45,40,45,40,75
palafin-zero,964,100,70,72,53,62,100
varoom,965,45,70,63,30,45,47
revavroom,966,80,119,90,54,67,90
cyclizar,967,70,95,65,85,65,121
orthworm,968,70,85,145,60,55,65
glimmet,969,48,35,42,105,60,60
glimmora,970,83,55,90,130,81,86
greavard,971,50,61,60,30,55,34
houndstone,972,72,101,100,50,97,68
flamigo,973,82,115,74,75,64,90
cetoddle,974,108,68,45,30,40,43
cetitan,975,170,113,65,45,55,73
veluza,976,90,102,73,78,65,70
dondozo,977,150,100,115,65,65,35
tatsugiri-curly,978,68,50,60,120,95,82
annihilape,979,110,115,80,50,90,90
clodsire,980,130,75,60,45,100,20
farigiraf,981,120,90,70,110,70,60
dudunsparce-two-segment,982,125,100,80,85,75,55
kingambit,983,100,135,120,60,85,50
great-tusk,984,115,131,131,53,53,87
scream-tail,985,115,65,99,65,115,111
brute-bonnet,986,111,127,99,79,99,55
flutter-mane,987,55,55,55,135,135,135
slither-wing,988,85,135,79,85,105,81
sandy-shocks,989,85,81,97,121,85,101
iron-treads,990,90,112,120,72,70,106
iron-bundle,991,56,80,114,124,60,136
iron-hands,992,154,140,108,50,68,50
iron-jugulis,993,94,80,86,122,80,108
iron-moth,994,80,70,60,140,110,110
iron-thorns,995,100,134,110,70,84,72
frigibax,996,65,75,45,35,45,55
arctibax,997,90,95,66,45,65,62
baxcalibur,998,115,145,92,75,86,87
gimmighoul,999,45,30,70,75,70,10
gholdengo,1000,87,60,95,133,91,84
wo-chien,1001,85,85,100,95,135,70
chien-pao,1002,80,120,80,90,65,135
ting-lu,1003,155,110,125,55,80,45
chi-yu,1004,55,80,80,135,120,100
roaring-moon,1005,105,139,71,55,101,119
iron-valiant,1006,74,130,90,120,60,116
koraidon,1007,100,135,115,85,100,135
miraidon,1008,100,85,100,135,115,135
walking-wake,1009,99,83,91,125,83,109
iron-leaves,1010,90,130,88,70,108,104
dipplin,1011,80,80,110,95,80,40
poltchageist,1012,40,45,45,74,54,50
sinistcha,1013,71,60,106,121,80,70
okidogi,1014,88,128,115,58,86,80
munkidori,1015,88,75,66,130,90,106
fezandipiti,1016,88,91,82,70,125,99
ogerpon,1017,80,120,84,60,96,110
archaludon,1018,90,105,130,125,65,85
hydrapple,1019,106,80,110,120,80,44
gouging-fire,1020,105,115,121,65,93,91
raging-bolt,1021,125,73,91,137,89,75
iron-boulder,1022,90,120,80,68,108,124
iron-crown,1023,90,72,100,122,108,98
terapagos,1024,90,65,85,65,85,60
pecharunt,1025,88,88,160,88,88,88
